archArea,archGbCd,archGbCdNm,archPmsDay,atchBldDongCnt,bcRat,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,guyukCd,guyukCdNm,hhldCnt,hoCnt,ji,jiguCd,jiguCdNm,jimokCd,jimokCdNm,jiyukCd,jiyukCdNm,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,platArea,platGbCd,platPlc,realStcnsDay,rnum,sigunguCd,splotNm,stcnsDelayDay,stcnsSchedDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
814.26,0100,신축,20050811,0,29.92,10100,청운동 파라디아 아델하우스, ,0004,20090326,0, , ,12,0,0001,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,02000,공동주택,11110-3306,2721.72,0,서울특별시 종로구 청운동 4-1번지,20051205,1,11110, , ,20051125,4748.37,45,20070727,87.52,2382.15
0, , ,20051118,0,0,10100, , ,0004,20100325,0, , ,0,0,0001, , , , , , , ,0, , ,11110-6439,0,0,서울특별시 종로구 청운동 4-1번지, ,2,11110, , , ,0,0, ,0,0
255.6,0100,신축,20060707,0,29.69,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,0, , ,4,0,0003,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,02000,공동주택,11110-3661,860.87,0,서울특별시 종로구 청운동 4-3번지,20060801,3,11110, , ,20060807,1536.11,14,20070619,84.11,724.05
0, , ,20060705,0,0,10100, , ,0004,20100325,0, , ,0,0,0003, , , , , , , ,0, , ,11110-6523,0,0,서울특별시 종로구 청운동 4-3번지, ,4,11110, , , ,0,0, ,0,0
440.78,0100,신축,19990417,0,29.79,10100,신구고려빌라, ,0004,20090326,0, , ,8,0,0007,200,경치지구, , ,1020,일반주거지역, ,1,02000,공동주택,11110-284,1479.65,0,서울특별시 종로구 청운동 4-7번지, ,5,11110, , , ,2283.68,21,20000929,87.41,1293.3
171.05,0100,신축,20030320,0,29.94,10100,리뉴빌, ,0004,20140711,0, , ,4,0,0014,411,자연경관지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-2334,571.16,0,서울특별시 종로구 청운동 4-14번지,20030412,6,11110, , ,20030412,813.96,7,20040112,87.25,498.35
0, , ,20041103,0,0,10100, , ,0004,20100325,0, , ,0,0,0021, , , , , , , ,0, , ,11110-6201,0,0,서울특별시 종로구 청운동 4-21번지, ,7,11110, , , ,0,0, ,0,0
126, , ,20051129,0,0,10100, , ,0004,20100818,0, , ,0,0,0021, , , , , , , ,0, , ,11110-3547,664.5,0,서울특별시 종로구 청운동 4-21번지, ,8,11110, , , ,126,0, ,0,0
179.5,0700,용도변경,20050802,0,7.28,10100,예수그리스도후기성도교회수도원, ,0005,20090326,0, , ,0,0,0000,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,Z5000, ,11110-3487,2464.2,0,서울특별시 종로구 청운동 5번지, ,9,11110, , , ,397.6,4,20050803,16.14,397.6
179.5,0100,신축,20040923,0,7.28,10100,선교부장 사택, ,0005,20140315,1, , ,0,0,0000,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,01000,단독주택,11110-2926,2464.2,0,서울특별시 종로구 청운동 5번지,20041213,10,11110, , ,20041215,397.6,4,20050704,16.14,397.6
649.01,0200,증축,20150824,0,28.76,10100,청운동 6 종교시설 (재단법인예수그리스도후기성도교회), ,0006,20161221,0, , ,0,0,0000,UQF110,자연경관지구,08,대,UQA121,제1종일반주거지역, ,1,06000,종교시설,11110-100023513,2256.5,0,서울특별시 종로구 청운동 6번지,20160907,11,11110, ,20161101,20160906,720.93,0,20161220,28.76,649.01
81.9,0100,신축,20150707,1,7.3256,10100,청운동 7-3 (종로구청), ,0007,20150708,0,ZH0021,문화재보존영향 검토대상구역,0,0,0003, , ,22,공원,UQA430,자연녹지지역, ,1,03000,제1종근린생활시설,11110-100023152,1118,0,서울특별시 종로구 청운동 7-3번지, ,12,11110, , , ,81.9,0, ,7.3256,81.9
580.3,0700,용도변경,20060810,1,37.11,10100,청운동 효성빌라, ,0008,20170307,0, , ,9,0,0004, , ,08,대,1021,제1종일반주거지역, ,1,02000,공동주택,11110-3771,1563.8,0,서울특별시 종로구 청운동 8-4번지, ,13,11110, , , ,1806.63,10,20060822,97.79,1529.28
80.09,0200,증축, ,0,63.97,10100,12-1다가구주택, ,0012,20090326,2, , ,0,0,0001,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,01000,단독주택,11110-4885,125.2,0,서울특별시 종로구 청운동 12-1번지, ,14,11110, , , ,171.35,0,20070131,128.07,160.34
