archArea,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,hhldCnt,hoCnt,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,roofCd,roofCdNm,sigunguCd,splotNm,strctCd,strctCdNm,totArea,vlRatEstmTotArea
814.26,10100,청운동 파라디아 아델하우스, ,0004,20090326,0,12,0,0001, ,0,주건축물,02000,공동주택,11110-3937,11110-3306,0,서울특별시 종로구 청운동 4-1번지,1,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,4748.37,2382.15
255.6,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,0,4,0,0003, ,0,주건축물,02000,공동주택,11110-4347,11110-3661,0,서울특별시 종로구 청운동 4-3번지,2,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,1536.11,724.05
440.78,10100,신구고려빌라, ,0004,20090326,0,8,0,0007, ,0,주건축물,02000,공동주택,11110-497,11110-284,0,서울특별시 종로구 청운동 4-7번지,3,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,2283.68,1293.3
171.05,10100,리뉴빌, ,0004,20140711,0,4,0,0014, ,0,주건축물,02000,공동주택,11110-2865,11110-2334,0,서울특별시 종로구 청운동 4-14번지,4,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,813.96,498.35
54,10100, , ,0004,20100818,0,0,0,0021, , , , , ,11110-4219,11110-3547,0,서울특별시 종로구 청운동 4-21번지,5, , ,11110, ,39,기타강구조,54,0
54,10100, , ,0004,20100818,0,0,0,0021, , , , , ,11110-4220,11110-3547,0,서울특별시 종로구 청운동 4-21번지,6, , ,11110, ,39,기타강구조,54,0
18,10100, , ,0004,20100818,0,0,0,0021, , , , , ,11110-4221,11110-3547,0,서울특별시 종로구 청운동 4-21번지,7, , ,11110, ,39,기타강구조,18,0
179.5,10100,예수그리스도후기성도교회수도원, ,0005,20090326,0,0,0,0000, ,0,주건축물,Z5000, ,11110-4139,11110-3487,0,서울특별시 종로구 청운동 5번지,8,20,기와,11110, ,21,철근콘크리트구조,397.6,397.6
179.5,10100,선교부장 사택, ,0005,20140315,1,0,0,0000, ,0,주건축물,01000,단독주택,11110-3516,11110-2926,0,서울특별시 종로구 청운동 5번지,9,20,기와,11110, ,21,철근콘크리트구조,397.6,397.6
169.14,10100,청운동 6 종교시설 (재단법인예수그리스도후기성도교회), ,0006,20161221,0,0,0,0000, ,0,주건축물,06000,종교시설,11110-100026886,11110-100023513,0,서울특별시 종로구 청운동 6번지,10,30,슬레이트,11110, ,12,블록구조,241.06,169.14
81.9,10100,청운동 7-3 (종로구청), ,0007,20150708,0,0,0,0003, ,0,주건축물,03000,제1종근린생활시설,11110-100022610,11110-100023152,0,서울특별시 종로구 청운동 7-3번지,11,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,81.9,81.9
580.3,10100,청운동 효성빌라, ,0008,20170307,0,9,0,0004, ,0,주건축물,02000,공동주택,11110-4463,11110-3771,0,서울특별시 종로구 청운동 8-4번지,12,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,1806.63,1529.28
20.75,10100,12-1다가구주택, ,0012,20090326,2,0,0,0001, ,0,주건축물,01000,단독주택,11110-5536,11110-4883,0,서울특별시 종로구 청운동 12-1번지,13,10,(철근)콘크리트,11110, ,19,기타조적구조,31.38,31.38
20.75,10100,12-1다가구주택, ,0012,20090326,2,0,0,0001, ,0,주건축물,01000,단독주택,11110-5535,11110-4882,0,서울특별시 종로구 청운동 12-1번지,14,10,(철근)콘크리트,11110, ,19,기타조적구조,31.38,31.38
20.75,10100,12-1다가구주택, ,0012,20090326,2,2,0,0001, ,0,주건축물,01000,단독주택,11110-5538,11110-4885,0,서울특별시 종로구 청운동 12-1번지,15,10,(철근)콘크리트,11110, ,19,기타조적구조,31.38,31.38
131.44,10100, , ,0012,20190109,0,7,0,0002, ,0,주건축물,02000,공동주택,11110-100030159,11110-100030002,0,서울특별시 종로구 청운동 12-2번지,16,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,479.69,446.59
0,10100, , ,0012,20170223,1,0,0,0003, ,0,주건축물,01000,단독주택,11110-100027299,11110-100027328,0,서울특별시 종로구 청운동 12-3번지,17,20,기와,11110, ,51,일반목구조,56.2,0
0,10100, , ,0012,20190212,1,0,0,0003, ,0,주건축물,01000,단독주택,11110-100036029,11110-100034834,0,서울특별시 종로구 청운동 12-3번지,18,20,기와,11110, ,51,일반목구조,56.2,0
0,10100, , ,0012,20190307,1,0,0,0003, ,0,주건축물,01000,단독주택,11110-100036745,11110-100035371,0,서울특별시 종로구 청운동 12-3번지,19,20,기와,11110, ,51,일반목구조,56.2,0
52.7,10100, , ,0012,20190329,2,0,0,0003, ,0,주건축물,01000,단독주택,11110-100035181,11110-100034089,0,서울특별시 종로구 청운동 12-3번지,20,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,147.02,147.02
9.91,10100, , ,0012,20141210,1,0,0,0005, ,0,주건축물,01000,단독주택,11110-100020631,11110-100021370,0,서울특별시 종로구 청운동 12-5번지,21,20,기와,11110, ,51,일반목구조,33.48,33.48
248.25,10100,레노시스빌, ,0015,20130618,0,3,0,0000, ,0,주건축물,02000,공동주택,11110-2338,11110-1864,0,서울특별시 종로구 청운동 15번지,22,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,1117.51,729.33
176.06,10100,드림빌, ,0015,20130618,0,3,0,0007, ,0,주건축물,02000,공동주택,11110-2020,11110-1561,0,서울특별시 종로구 청운동 15-7번지,23,90,기타지붕,11110, ,21,철근콘크리트구조,658,506.4
142.22,10100,청운동 단독주택, ,0015,20090326,1,1,0,0009, ,0,주건축물,01000,단독주택,11110-3107,11110-2561,0,서울특별시 종로구 청운동 15-9번지,24,90,기타지붕,11110, ,31,일반철골구조,327.16,327.16
247.93,10100, , ,0015,20131001,1,0,0,0012, ,0,주건축물,01000,단독주택,11110-100017155,11110-100018280,0,서울특별시 종로구 청운동 15-12번지,25,20,기와,11110, ,11,벽돌구조,280.99,247.93
165.1,10100,단독주택, ,0015,20180914,1,0,0,0012, ,0,주건축물,01000,단독주택,11110-100019482,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,26,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,518.09,298.15
148.58,10100, , ,0015,20100325,1,0,0,0014, ,0,주건축물,01000,단독주택,11110-100008098,11110-100010314,0,서울특별시 종로구 청운동 15-14번지,27,10,(철근)콘크리트,11110, ,11,벽돌구조,328.88,0
209.65,10100,청운동 15-14 단독주택 (박성빈), ,0015,20111209,1,0,0,0014, ,0,주건축물,01000,단독주택,11110-100013206,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,28,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,498.28,376.44
18,10100, , ,0015,20111209,0,0,0,0014, , , ,28000,가설건축물,11110-100008389,11110-100010771,0,서울특별시 종로구 청운동 15-14번지,29, , ,11110, ,32,경량철골구조,36,36
166.02,10100,청운동주택, ,0015,20130618,1,1,0,0015, ,0,주건축물,01000,단독주택,11110-2996,11110-2463,0,서울특별시 종로구 청운동 15-15번지,30,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,569.39,289.7
0,10100, , ,0015,20100325,1,0,0,0017, ,0,주건축물,01000,단독주택,11110-100008099,11110-100010315,0,서울특별시 종로구 청운동 15-17번지,31,20,기와,11110, ,21,철근콘크리트구조,328.07,0
214.05,10100,청운동 15-17 단독주택 (정지윤), ,0015,20111104,1,0,0,0017, ,0,주건축물,01000,단독주택,11110-100012952,11110-100011736,0,서울특별시 종로구 청운동 15-17번지,32,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,491.75,368.31
57.02,10100, , ,0015,20140318,1,0,0,0022, ,0,주건축물,01000,단독주택,11110-100018724,11110-100018579,0,서울특별시 종로구 청운동 15-22번지,33,20,기와,11110, ,11,벽돌구조,287.32,97.08
149.03,10100,청운동 주택, ,0015,20130824,1,0,0,0033, ,0,주건축물,01000,단독주택,11110-2435,11110-1951,0,서울특별시 종로구 청운동 15-33번지,34,10,(철근)콘크리트,11110, ,41,철골콘크리트구조,325.72,303
120.24,10100,청운동  단독주택, ,0015,20180420,1,0,0,0033, ,0,주건축물,01000,단독주택,11110-100030588,11110-100025592,0,서울특별시 종로구 청운동 15-33번지,35,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,486.83,331.94
64.86,10100,부속동, ,0015,20130727,0,0,0,0046, ,1,부속건축물,01000,단독주택,11110-100016798,11110-100016486,0,서울특별시 종로구 청운동 15-46번지,36,20,기와,11110, ,51,일반목구조,64.86,64.86
159.26,10100, , ,0015,20150627,1,0,0,0046, ,0,주건축물,01000,단독주택,11110-100022539,11110-100023085,0,서울특별시 종로구 청운동 15-46번지,37,20,기와,11110, ,11,벽돌구조,260.76,211.57
145.61,10100,청운동 15-46 단독주택 (조상래), ,0015,20161207,1,0,0,0046, ,0,주건축물,01000,단독주택,11110-100026769,11110-100023938,0,서울특별시 종로구 청운동 15-46번지,38,20,기와,11110, ,21,철근콘크리트구조,304.27,239.19
48.36,10100,청운동 15-46 단독주택 (조상래), ,0015,20161207,0,0,1,0046, ,1,부속건축물,04000,제2종근린생활시설,11110-100026770,11110-100023938,0,서울특별시 종로구 청운동 15-46번지,39,90,기타지붕,11110, ,21,철근콘크리트구조,46.188,46.188
195,10100, , ,0015,20100818,0,0,0,0047, , , , , ,11110-1102,11110-732,0,서울특별시 종로구 청운동 15-47번지,40, , ,11110, ,32,경량철골구조,195,0
125.51,10100,청운동주택, ,0015,20130618,1,1,0,0056, ,0,주건축물,01000,단독주택,11110-1329,11110-929,0,서울특별시 종로구 청운동 15-56번지,41,20,기와,11110, ,21,철근콘크리트구조,381.03,240.73
49.58,10100, , ,0016,20190305,0,0,0,0001, , , , , ,11110-4165,11110-3511,0,서울특별시 종로구 청운동 16-1번지,42, , ,11110, ,39,기타강구조,49.58,0
342.16,10100,청운동 라임카운티, ,0030,20140711,0,8,0,0001, ,0,주건축물,02000,공동주택,11110-3002,11110-2469,0,서울특별시 종로구 청운동 30-1번지,43,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,1710.1,972.78
127.56,10100, , ,0030,20151014,1,0,0,0013, ,0,주건축물,01000,단독주택,11110-100023423,11110-100023937,0,서울특별시 종로구 청운동 30-13번지,44,10,(철근)콘크리트,11110, ,11,벽돌구조,241.38,227.2
321.28,10100,청운동 30-13외 2필지 근린생활시설, ,0030,20170908,0,0,0,0013, ,0,주건축물,04000,제2종근린생활시설,11110-100029000,11110-100024216,0,서울특별시 종로구 청운동 30-13번지,45,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,998.3,829.98
226.9,10100, , ,0030,20180519,2,0,0,0015, ,0,주건축물,01000,단독주택,11110-100030845,11110-100027079,0,서울특별시 종로구 청운동 30-15번지,46,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,449.14,417.17
