archGbCd,archGbCdNm,bjdongCd,bldNm,block,bun,crtnDay,flrArea,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmFlrOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,sigunguCd,splotNm,strctCd,strctCdNm
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,1572.17,10,지하,2,0001, ,02002,연립주택,11110-3937,11110-18015,11110-3306,0,서울특별시 종로구 청운동 4-1번지,1,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,794.05,10,지하,1,0001, ,02002,연립주택,11110-3937,11110-18016,11110-3306,0,서울특별시 종로구 청운동 4-1번지,2,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,794.05,20,지상,1,0001, ,02002,연립주택,11110-3937,11110-18017,11110-3306,0,서울특별시 종로구 청운동 4-1번지,3,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,794.05,20,지상,2,0001, ,02002,연립주택,11110-3937,11110-18018,11110-3306,0,서울특별시 종로구 청운동 4-1번지,4,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,794.05,20,지상,3,0001, ,02002,연립주택,11110-3937,11110-18019,11110-3306,0,서울특별시 종로구 청운동 4-1번지,5,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,438.86,10,지하,2,0003, ,02005,부대시설,11110-4347,11110-19618,11110-3661,0,서울특별시 종로구 청운동 4-3번지,6,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,19.6,10,지하,2,0003, ,02005,부대시설,11110-4347,11110-19619,11110-3661,0,서울특별시 종로구 청운동 4-3번지,7,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,70.52,10,지하,2,0003, ,02005,부대시설,11110-4347,11110-19620,11110-3661,0,서울특별시 종로구 청운동 4-3번지,8,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,5.2,10,지하,2,0003, ,02005,부대시설,11110-4347,11110-19621,11110-3661,0,서울특별시 종로구 청운동 4-3번지,9,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,9,10,지하,2,0003, ,02005,부대시설,11110-4347,11110-19622,11110-3661,0,서울특별시 종로구 청운동 4-3번지,10,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,268.88,10,지하,1,0003, ,02002,연립주택,11110-4347,11110-19623,11110-3661,0,서울특별시 종로구 청운동 4-3번지,11,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,241.35,20,지상,1,0003, ,02002,연립주택,11110-4347,11110-19624,11110-3661,0,서울특별시 종로구 청운동 4-3번지,12,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,241.35,20,지상,2,0003, ,02002,연립주택,11110-4347,11110-19625,11110-3661,0,서울특별시 종로구 청운동 4-3번지,13,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,241.35,20,지상,3,0003, ,02002,연립주택,11110-4347,11110-19626,11110-3661,0,서울특별시 종로구 청운동 4-3번지,14,11110, ,21,철근콘크리트구조
2000,허가/신고사항변경,10100,신구고려빌라, ,0004,20090326,549.17,10,지하,2,0007, ,02005,부대시설,11110-497,11110-2765,11110-284,0,서울특별시 종로구 청운동 4-7번지,15,11110, ,21,철근콘크리트구조
0100,신축,10100,신구고려빌라, ,0004,20090326,13.33,10,지하,2,0007, ,02005,부대시설,11110-497,11110-2766,11110-284,0,서울특별시 종로구 청운동 4-7번지,16,11110, ,21,철근콘크리트구조
0100,신축,10100,신구고려빌라, ,0004,20090326,13.69,10,지하,2,0007, ,02005,부대시설,11110-497,11110-2767,11110-284,0,서울특별시 종로구 청운동 4-7번지,17,11110, ,21,철근콘크리트구조
0100,신축,10100,신구고려빌라, ,0004,20090326,32.09,10,지하,2,0007, ,02005,부대시설,11110-497,11110-2768,11110-284,0,서울특별시 종로구 청운동 4-7번지,18,11110, ,21,철근콘크리트구조
0100,신축,10100,신구고려빌라, ,0004,20090326,252.71,10,지하,1,0007, ,02002,연립주택,11110-497,11110-2769,11110-284,0,서울특별시 종로구 청운동 4-7번지,19,11110, ,21,철근콘크리트구조
0100,신축,10100,신구고려빌라, ,0004,20090326,129.39,10,지하,1,0007, ,02005,부대시설,11110-497,11110-2770,11110-284,0,서울특별시 종로구 청운동 4-7번지,20,11110, ,21,철근콘크리트구조
0100,신축,10100,신구고려빌라, ,0004,20090326,433.08,20,지상,1,0007, ,02002,연립주택,11110-497,11110-2771,11110-284,0,서울특별시 종로구 청운동 4-7번지,21,11110, ,21,철근콘크리트구조
0100,신축,10100,신구고려빌라, ,0004,20090326,430.11,20,지상,2,0007, ,02002,연립주택,11110-497,11110-2772,11110-284,0,서울특별시 종로구 청운동 4-7번지,22,11110, ,21,철근콘크리트구조
0100,신축,10100,신구고려빌라, ,0004,20090326,430.11,20,지상,3,0007, ,02002,연립주택,11110-497,11110-2773,11110-284,0,서울특별시 종로구 청운동 4-7번지,23,11110, ,21,철근콘크리트구조
0100,신축,10100,신구고려빌라, ,0004,20090326,29.12,30,옥탑,1,0007, ,02005,부대시설,11110-497,11110-2774,11110-284,0,서울특별시 종로구 청운동 4-7번지,24,11110, ,21,철근콘크리트구조
