area,bjdongCd,block,bun,crtnDay,etcPurps,exposPubuseGbCd,exposPubuseGbCdNm,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmHoDetlPk,mgmHoExposPubuseAreaPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm,strctCd,strctCdNm
43.49,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19090,11110-84951,0,서울특별시 종로구 청운동 4-1번지,72.31,1,11110, ,21,철근콘크리트구조
239.03,10100, ,0004,20090326, ,1,전유,40,각층,-1,0001, ,0,주건축물,02002,연립주택,11110-19090,11110-84952,0,서울특별시 종로구 청운동 4-1번지,72.31,2,11110, ,21,철근콘크리트구조
35.84,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19094,11110-84959,0,서울특별시 종로구 청운동 4-1번지,73.21,3,11110, ,21,철근콘크리트구조
242.01,10100, ,0004,20090326, ,1,전유,40,각층,2,0001, ,0,주건축물,02002,연립주택,11110-19094,11110-84960,0,서울특별시 종로구 청운동 4-1번지,73.21,4,11110, ,21,철근콘크리트구조
43.49,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19093,11110-84957,0,서울특별시 종로구 청운동 4-1번지,72.31,5,11110, ,21,철근콘크리트구조
239.03,10100, ,0004,20090326, ,1,전유,40,각층,1,0001, ,0,주건축물,02002,연립주택,11110-19093,11110-84958,0,서울특별시 종로구 청운동 4-1번지,72.31,6,11110, ,21,철근콘크리트구조
36.24,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19095,11110-84961,0,서울특별시 종로구 청운동 4-1번지,74.03,7,11110, ,21,철근콘크리트구조
244.72,10100, ,0004,20090326, ,1,전유,40,각층,2,0001, ,0,주건축물,02002,연립주택,11110-19095,11110-84962,0,서울특별시 종로구 청운동 4-1번지,74.03,8,11110, ,21,철근콘크리트구조
43.49,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19096,11110-84963,0,서울특별시 종로구 청운동 4-1번지,72.31,9,11110, ,21,철근콘크리트구조
239.03,10100, ,0004,20090326, ,1,전유,40,각층,2,0001, ,0,주건축물,02002,연립주택,11110-19096,11110-84964,0,서울특별시 종로구 청운동 4-1번지,72.31,10,11110, ,21,철근콘크리트구조
36.24,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19098,11110-84967,0,서울특별시 종로구 청운동 4-1번지,74.03,11,11110, ,21,철근콘크리트구조
244.72,10100, ,0004,20090326, ,1,전유,40,각층,3,0001, ,0,주건축물,02002,연립주택,11110-19098,11110-84968,0,서울특별시 종로구 청운동 4-1번지,74.03,12,11110, ,21,철근콘크리트구조
36.24,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19089,11110-84949,0,서울특별시 종로구 청운동 4-1번지,74.03,13,11110, ,21,철근콘크리트구조
244.72,10100, ,0004,20090326, ,1,전유,40,각층,-1,0001, ,0,주건축물,02002,연립주택,11110-19089,11110-84950,0,서울특별시 종로구 청운동 4-1번지,74.03,14,11110, ,21,철근콘크리트구조
35.84,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19088,11110-84947,0,서울특별시 종로구 청운동 4-1번지,73.21,15,11110, ,21,철근콘크리트구조
242.01,10100, ,0004,20090326, ,1,전유,40,각층,-1,0001, ,0,주건축물,02002,연립주택,11110-19088,11110-84948,0,서울특별시 종로구 청운동 4-1번지,73.21,16,11110, ,21,철근콘크리트구조
43.49,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19099,11110-84969,0,서울특별시 종로구 청운동 4-1번지,72.31,17,11110, ,21,철근콘크리트구조
239.03,10100, ,0004,20090326, ,1,전유,40,각층,3,0001, ,0,주건축물,02002,연립주택,11110-19099,11110-84970,0,서울특별시 종로구 청운동 4-1번지,72.31,18,11110, ,21,철근콘크리트구조
35.84,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19097,11110-84965,0,서울특별시 종로구 청운동 4-1번지,73.21,19,11110, ,21,철근콘크리트구조
242.01,10100, ,0004,20090326, ,1,전유,40,각층,3,0001, ,0,주건축물,02002,연립주택,11110-19097,11110-84966,0,서울특별시 종로구 청운동 4-1번지,73.21,20,11110, ,21,철근콘크리트구조
36.24,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19092,11110-84955,0,서울특별시 종로구 청운동 4-1번지,74.03,21,11110, ,21,철근콘크리트구조
244.72,10100, ,0004,20090326, ,1,전유,40,각층,1,0001, ,0,주건축물,02002,연립주택,11110-19092,11110-84956,0,서울특별시 종로구 청운동 4-1번지,74.03,22,11110, ,21,철근콘크리트구조
35.84,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19091,11110-84953,0,서울특별시 종로구 청운동 4-1번지,73.21,23,11110, ,21,철근콘크리트구조
242.01,10100, ,0004,20090326, ,1,전유,40,각층,1,0001, ,0,주건축물,02002,연립주택,11110-19091,11110-84954,0,서울특별시 종로구 청운동 4-1번지,73.21,24,11110, ,21,철근콘크리트구조
216.55,10100, ,0004,20090326, ,1,전유,20,지상,2,0003, ,0,주건축물,02002,연립주택,11110-19272,11110-85691,0,서울특별시 종로구 청운동 4-3번지,46.51,25,11110, ,21,철근콘크리트구조
106.34,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19272,11110-85692,0,서울특별시 종로구 청운동 4-3번지,46.51,26,11110, ,21,철근콘크리트구조
30.05,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-19272,11110-85693,0,서울특별시 종로구 청운동 4-3번지,46.51,27,11110, ,21,철근콘크리트구조
15.18,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19272,11110-85694,0,서울특별시 종로구 청운동 4-3번지,46.51,28,11110, ,21,철근콘크리트구조
2.18,10100, ,0004,20090326,경비실,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19272,11110-85695,0,서울특별시 종로구 청운동 4-3번지,46.51,29,11110, ,21,철근콘크리트구조
216.55,10100, ,0004,20090326, ,1,전유,20,지상,1,0003, ,0,주건축물,02002,연립주택,11110-19271,11110-85686,0,서울특별시 종로구 청운동 4-3번지,46.51,30,11110, ,21,철근콘크리트구조
106.34,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19271,11110-85687,0,서울특별시 종로구 청운동 4-3번지,46.51,31,11110, ,21,철근콘크리트구조
30.05,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-19271,11110-85688,0,서울특별시 종로구 청운동 4-3번지,46.51,32,11110, ,21,철근콘크리트구조
15.18,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19271,11110-85689,0,서울특별시 종로구 청운동 4-3번지,46.51,33,11110, ,21,철근콘크리트구조
2.18,10100, ,0004,20090326,경비실,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19271,11110-85690,0,서울특별시 종로구 청운동 4-3번지,46.51,34,11110, ,21,철근콘크리트구조
2.18,10100, ,0004,20090326,경비실,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19273,11110-85700,0,서울특별시 종로구 청운동 4-3번지,47.14,35,11110, ,21,철근콘크리트구조
216.55,10100, ,0004,20090326, ,1,전유,20,지상,3,0003, ,0,주건축물,02002,연립주택,11110-19273,11110-85696,0,서울특별시 종로구 청운동 4-3번지,47.14,36,11110, ,21,철근콘크리트구조
106.34,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19273,11110-85697,0,서울특별시 종로구 청운동 4-3번지,47.14,37,11110, ,21,철근콘크리트구조
30.05,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-19273,11110-85698,0,서울특별시 종로구 청운동 4-3번지,47.14,38,11110, ,21,철근콘크리트구조
17.25,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19273,11110-85699,0,서울특별시 종로구 청운동 4-3번지,47.14,39,11110, ,21,철근콘크리트구조
244.08,10100, ,0004,20090326, ,1,전유,10,지하,1,0003, ,0,주건축물,02002,연립주택,11110-19270,11110-85681,0,서울특별시 종로구 청운동 4-3번지,54.17,40,11110, ,21,철근콘크리트구조
119.84,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19270,11110-85682,0,서울특별시 종로구 청운동 4-3번지,54.17,41,11110, ,21,철근콘크리트구조
33.85,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-19270,11110-85683,0,서울특별시 종로구 청운동 4-3번지,54.17,42,11110, ,21,철근콘크리트구조
22.91,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19270,11110-85684,0,서울특별시 종로구 청운동 4-3번지,54.17,43,11110, ,21,철근콘크리트구조
2.46,10100, ,0004,20090326,경비실,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-19270,11110-85685,0,서울특별시 종로구 청운동 4-3번지,54.17,44,11110, ,21,철근콘크리트구조
78.66,10100, ,0004,20140711, ,1,전유,20,지상,1,0014, ,0,주건축물,02003,다세대주택,11110-17100,11110-76573,0,서울특별시 종로구 청운동 4-14번지,44.47B,45,11110, ,21,철근콘크리트구조
68.36,10100, ,0004,20140711, ,1,전유,10,지하,1,0014, ,0,주건축물,02003,다세대주택,11110-17100,11110-76574,0,서울특별시 종로구 청운동 4-14번지,44.47B,46,11110, ,21,철근콘크리트구조
47.5,10100, ,0004,20140711,"계단실,주차장",2,공용,40,각층,0,0014, ,0,주건축물,02003,다세대주택,11110-17100,11110-76575,0,서울특별시 종로구 청운동 4-14번지,44.47B,47,11110, ,21,철근콘크리트구조
76.78,10100, ,0004,20140711, ,1,전유,20,지상,2,0014, ,0,주건축물,02003,다세대주택,11110-17102,11110-76579,0,서울특별시 종로구 청운동 4-14번지,48.47D,48,11110, ,21,철근콘크리트구조
83.47,10100, ,0004,20140711, ,1,전유,20,지상,3,0014, ,0,주건축물,02003,다세대주택,11110-17102,11110-76580,0,서울특별시 종로구 청운동 4-14번지,48.47D,49,11110, ,21,철근콘크리트구조
51.78,10100, ,0004,20140711,"계단실,주차장",2,공용,40,각층,0,0014, ,0,주건축물,02003,다세대주택,11110-17102,11110-76581,0,서울특별시 종로구 청운동 4-14번지,48.47D,50,11110, ,21,철근콘크리트구조
77.43,10100, ,0004,20140711, ,1,전유,20,지상,2,0014, ,0,주건축물,02003,다세대주택,11110-17101,11110-76576,0,서울특별시 종로구 청운동 4-14번지,48.67C,51,11110, ,21,철근콘크리트구조
83.47,10100, ,0004,20140711, ,1,전유,20,지상,3,0014, ,0,주건축물,02003,다세대주택,11110-17101,11110-76577,0,서울특별시 종로구 청운동 4-14번지,48.67C,52,11110, ,21,철근콘크리트구조
51.99,10100, ,0004,20140711,"계단실,주차장",2,공용,40,각층,0,0014, ,0,주건축물,02003,다세대주택,11110-17101,11110-76578,0,서울특별시 종로구 청운동 4-14번지,48.67C,53,11110, ,21,철근콘크리트구조
78.66,10100, ,0004,20140711, ,1,전유,20,지상,1,0014, ,0,주건축물,02003,다세대주택,11110-17099,11110-76570,0,서울특별시 종로구 청운동 4-14번지,44.47A,54,11110, ,21,철근콘크리트구조
