bjdongCd,block,bun,changGbCd,changGbCdNm,crtnDay,flrGbCd,flrGbCdNm,flrNo,hoNm,hoNo,ji,lot,mgmDongOulnPk,mgmHoDetlPk,mgmPmsrgstPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm
10100, ,0004, , ,20090326,10,지하,1, ,1,0001, ,11110-3937,11110-19088,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,1,11110, 
10100, ,0004, , ,20090326,10,지하,1, ,2,0001, ,11110-3937,11110-19089,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,2,11110, 
10100, ,0004, , ,20090326,10,지하,1, ,3,0001, ,11110-3937,11110-19090,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,3,11110, 
10100, ,0004, , ,20090326,20,지상,1, ,4,0001, ,11110-3937,11110-19091,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,4,11110, 
10100, ,0004, , ,20090326,20,지상,1, ,5,0001, ,11110-3937,11110-19092,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,5,11110, 
10100, ,0004, , ,20090326,20,지상,1, ,6,0001, ,11110-3937,11110-19093,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,6,11110, 
10100, ,0004, , ,20090326,20,지상,2, ,7,0001, ,11110-3937,11110-19094,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,7,11110, 
10100, ,0004, , ,20090326,20,지상,2, ,8,0001, ,11110-3937,11110-19095,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,8,11110, 
10100, ,0004, , ,20090326,20,지상,2, ,9,0001, ,11110-3937,11110-19096,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,9,11110, 
10100, ,0004, , ,20090326,20,지상,3, ,10,0001, ,11110-3937,11110-19097,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,10,11110, 
10100, ,0004, , ,20090326,20,지상,3, ,11,0001, ,11110-3937,11110-19098,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,11,11110, 
10100, ,0004, , ,20090326,20,지상,3, ,12,0001, ,11110-3937,11110-19099,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,12,11110, 
10100, ,0004, , ,20090326,10,지하,1, ,1,0003, ,11110-4347,11110-19270,11110-3661,0,서울특별시 종로구 청운동 4-3번지, ,13,11110, 
10100, ,0004, , ,20090326,20,지상,1, ,2,0003, ,11110-4347,11110-19271,11110-3661,0,서울특별시 종로구 청운동 4-3번지, ,14,11110, 
10100, ,0004, , ,20090326,20,지상,2, ,3,0003, ,11110-4347,11110-19272,11110-3661,0,서울특별시 종로구 청운동 4-3번지, ,15,11110, 
10100, ,0004, , ,20090326,20,지상,3, ,4,0003, ,11110-4347,11110-19273,11110-3661,0,서울특별시 종로구 청운동 4-3번지, ,16,11110, 
10100, ,0004, , ,20090326,20,지상,1, ,3,0007, ,11110-497,11110-1667,11110-284,0,서울특별시 종로구 청운동 4-7번지, ,17,11110, 
10100, ,0004, , ,20090326,20,지상,1, ,4,0007, ,11110-497,11110-1668,11110-284,0,서울특별시 종로구 청운동 4-7번지, ,18,11110, 
10100, ,0004, , ,20090326,20,지상,2, ,5,0007, ,11110-497,11110-1669,11110-284,0,서울특별시 종로구 청운동 4-7번지, ,19,11110, 
10100, ,0004, , ,20090326,20,지상,2, ,6,0007, ,11110-497,11110-1670,11110-284,0,서울특별시 종로구 청운동 4-7번지, ,20,11110, 
10100, ,0004, , ,20090326,20,지상,3, ,7,0007, ,11110-497,11110-1671,11110-284,0,서울특별시 종로구 청운동 4-7번지, ,21,11110, 
10100, ,0004, , ,20090326,20,지상,3, ,8,0007, ,11110-497,11110-1672,11110-284,0,서울특별시 종로구 청운동 4-7번지, ,22,11110, 
10100, ,0004, , ,20090326,10,지하,1, ,1,0007, ,11110-497,11110-1665,11110-284,0,서울특별시 종로구 청운동 4-7번지, ,23,11110, 
10100, ,0004, , ,20090326,10,지하,1, ,2,0007, ,11110-497,11110-1666,11110-284,0,서울특별시 종로구 청운동 4-7번지, ,24,11110, 
10100, ,0004, , ,20140711,20,지상,1, ,1,0014, ,11110-2865,11110-17099,11110-2334,0,서울특별시 종로구 청운동 4-14번지, ,25,11110, 
10100, ,0004, , ,20140711,20,지상,1, ,2,0014, ,11110-2865,11110-17100,11110-2334,0,서울특별시 종로구 청운동 4-14번지, ,26,11110, 
10100, ,0004, , ,20140711,20,지상,2, ,3,0014, ,11110-2865,11110-17101,11110-2334,0,서울특별시 종로구 청운동 4-14번지, ,27,11110, 
10100, ,0004, , ,20140711,20,지상,2, ,4,0014, ,11110-2865,11110-17102,11110-2334,0,서울특별시 종로구 청운동 4-14번지, ,28,11110, 
10100, ,0008, , ,20170307,20,지상,1, ,1,0004, ,11110-4463,11110-19303,11110-3771,0,서울특별시 종로구 청운동 8-4번지, ,29,11110, 
10100, ,0008, , ,20170307,20,지상,1, ,2,0004, ,11110-4463,11110-19304,11110-3771,0,서울특별시 종로구 청운동 8-4번지, ,30,11110, 
10100, ,0015, , ,20130618,20,지상,1, ,1,0000, ,11110-2338,11110-14949,11110-1864,0,서울특별시 종로구 청운동 15번지, ,31,11110, 
10100, ,0015, , ,20130618,20,지상,2, ,2,0000, ,11110-2338,11110-14950,11110-1864,0,서울특별시 종로구 청운동 15번지, ,32,11110, 
10100, ,0015, , ,20130618,20,지상,3, ,3,0000, ,11110-2338,11110-14951,11110-1864,0,서울특별시 종로구 청운동 15번지, ,33,11110, 
10100, ,0015, , ,20130618,10,지하,1, ,1,0007, ,11110-2020,11110-12066,11110-1561,0,서울특별시 종로구 청운동 15-7번지, ,34,11110, 
10100, ,0015, , ,20130618,20,지상,2, ,2,0007, ,11110-2020,11110-12067,11110-1561,0,서울특별시 종로구 청운동 15-7번지, ,35,11110, 
10100, ,0015, , ,20130618,20,지상,3, ,3,0007, ,11110-2020,11110-12068,11110-1561,0,서울특별시 종로구 청운동 15-7번지, ,36,11110, 
10100, ,0030, , ,20140711,10,지하,1, ,1,0001, ,11110-3002,11110-17503,11110-2469,0,서울특별시 종로구 청운동 30-1번지, ,37,11110, 
10100, ,0030, , ,20140711,10,지하,1, ,2,0001, ,11110-3002,11110-17504,11110-2469,0,서울특별시 종로구 청운동 30-1번지, ,38,11110, 
