bjdongCd,block,bun,crtnDay,ji,jijiguCd,jijiguCdNm,jijiguGbCd,jijiguGbCdNm,jijiguNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm
10100, ,0004,20090326,0001,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-3306,0,서울특별시 종로구 청운동 4-1번지,1,1,11110, 
10100, ,0004,20090326,0001,411, ,2,용도지구코드,자연경관지구, ,0,전체,11110-3306,0,서울특별시 종로구 청운동 4-1번지,1,2,11110, 
10100, ,0004,20090326,0003,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-3661,0,서울특별시 종로구 청운동 4-3번지,0,3,11110, 
10100, ,0004,20090326,0003,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-3661,0,서울특별시 종로구 청운동 4-3번지,1,4,11110, 
10100, ,0004,20090326,0003,411, ,2,용도지구코드,자연경관지구, ,0,전체,11110-3661,0,서울특별시 종로구 청운동 4-3번지,1,5,11110, 
10100, ,0004,20090326,0007,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-284,0,서울특별시 종로구 청운동 4-7번지,1,6,11110, 
10100, ,0004,20090326,0007,200, ,2,용도지구코드,경치지구, ,0,전체,11110-284,0,서울특별시 종로구 청운동 4-7번지,1,7,11110, 
10100, ,0004,20140711,0014,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-2334,0,서울특별시 종로구 청운동 4-14번지,1,8,11110, 
10100, ,0004,20140711,0014,411, ,2,용도지구코드,자연경관지구, ,0,전체,11110-2334,0,서울특별시 종로구 청운동 4-14번지,1,9,11110, 
10100, ,0005,20090326,0000,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-3487,0,서울특별시 종로구 청운동 5번지,1,10,11110, 
10100, ,0005,20090326,0000,411, ,2,용도지구코드,자연경관지구, ,0,전체,11110-3487,0,서울특별시 종로구 청운동 5번지,1,11,11110, 
10100, ,0005,20140315,0000,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-2926,0,서울특별시 종로구 청운동 5번지,1,12,11110, 
