bjdongCd,block,bun,crtnDay,hjdongCd,ji,jimokCd,jimokCdNm,lot,mainDongGbCd,mainDongGbCdNm,mgmDongOulnPk,mgmPlatPlcPk,platGbCd,platPlc,relJibunNm,reprYn,rnum,sigunguCd,splotNm,mgmPmsrgstPk
10100, ,0036,20090326,510,0010, , , ,1,동별,11110-5538,11110-11635,-, ,0,0,1,11110, ,
10100, ,0001,20090326,510,0016, , , ,1,동별,11110-3074,11110-10893,0,서울특별시 종로구 청운동 1-16번지,89-16,0,2,11110, ,
10100, ,0003,20090326,510,0094, , , ,1,동별,11110-3937,11110-11167,0,서울특별시 종로구 청운동 3-94번지,3-94,0,3,11110, ,
10100, ,0003,20090326,510,0138, , , ,1,동별,11110-3937,11110-11166,0,서울특별시 종로구 청운동 3-138번지,3-138,0,4,11110, ,
10100, ,0004,20090326,510,0001,08,대, ,0,전체,11110-3680,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,1,5,11110, ,
10100, ,0004,20100325,510,0001, , , ,0,전체,11110-6813,11110-6439,0,서울특별시 종로구 청운동 4-1번지, ,1,6,11110, ,
10100, ,0004,20090326,510,0003,08,대, ,0,전체,11110-4035,11110-3661,0,서울특별시 종로구 청운동 4-3번지, ,1,7,11110, ,
10100, ,0004,20100325,510,0003, , , ,0,전체,11110-6897,11110-6523,0,서울특별시 종로구 청운동 4-3번지, ,1,8,11110, ,
10100, ,0004,20090326,510,0005, , , ,1,동별,11110-3937,11110-11163,0,서울특별시 종로구 청운동 4-5번지,4-5,0,9,11110, ,
10100, ,0004,20090326,510,0007, , , ,0,전체,11110-483,11110-284,0,서울특별시 종로구 청운동 4-7번지, ,1,10,11110, ,
10100, ,0004,20140711,510,0014,08,대, ,0,전체,11110-2708,11110-2334,0,서울특별시 종로구 청운동 4-14번지, ,1,11,11110, ,
10100, ,0004,20090326,510,0016, , , ,1,동별,11110-4347,11110-11325,0,서울특별시 종로구 청운동 4-16번지,4-16,0,12,11110, ,
10100, ,0004,20100325,510,0021, , , ,0,전체,11110-6575,11110-6201,0,서울특별시 종로구 청운동 4-21번지, ,1,13,11110, ,
10100, ,0004,20100818,510,0021, , , ,0,전체,11110-3921,11110-3547,0,서울특별시 종로구 청운동 4-21번지, ,1,14,11110, ,
10100, ,0004,20090326,510,0027, , , ,1,동별,11110-3937,11110-11164,0,서울특별시 종로구 청운동 4-27번지,4-27,0,15,11110, ,
10100, ,0004,20090326,510,0042, , , ,1,동별,11110-3937,11110-11165,0,서울특별시 종로구 청운동 4-42번지,4-42,0,16,11110, ,
10100, ,0005,20090326,510,0000,08,대, ,0,전체,11110-3861,11110-3487,0,서울특별시 종로구 청운동 5번지, ,1,17,11110, ,
10100, ,0005,20140315,510,0000,08,대, ,0,전체,11110-3300,11110-2926,0,서울특별시 종로구 청운동 5번지, ,1,18,11110, ,
10100, ,0005,20161221,515,0001,08,대, ,0,전체,11110-100037357,11110-100023513,0,서울특별시 종로구 청운동 5-1번지, ,0,19,11110, ,
10100, ,0005,20161221,515,0001,08,대, ,1,동별,11110-100026886,11110-100037360,0,서울특별시 종로구 청운동 5-1번지, ,0,20,11110, ,
10100, ,0006,20161221,515,0000,08,대, ,0,전체,11110-100037356,11110-100023513,0,서울특별시 종로구 청운동 6번지, ,1,21,11110, ,
10100, ,0007,20150708,515,0003,22,공원, ,0,전체,11110-100031119,11110-100023152,0,서울특별시 종로구 청운동 7-3번지, ,1,22,11110, ,
10100, ,0008,20170307,510,0004,08,대, ,0,전체,11110-4145,11110-3771,0,서울특별시 종로구 청운동 8-4번지, ,1,23,11110, ,
10100, ,0008,20170307,510,0005, , , ,1,동별,11110-4463,11110-11361,0,서울특별시 종로구 청운동 8-5번지,8-5,0,24,11110, ,
10100, ,0008,20170307,510,0009, , , ,1,동별,11110-4463,11110-11362,0,서울특별시 종로구 청운동 8-9번지,8-9,0,25,11110, ,
