bjdongCd,block,bun,capaLube,capaPsper,crtnDay,ji,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm,wclfModeCd,wclfModeCdNm
10100, ,0004,0,80,20090326,0001, ,0,전체,11110-3306,0,서울특별시 종로구 청운동 4-1번지,1,1,11110, ,201,부패탱크방법
10100, ,0004,0,30,20090326,0003, ,0,전체,11110-3661,0,서울특별시 종로구 청운동 4-3번지,1,2,11110, ,201,부패탱크방법
10100, ,0004,0,50,20090326,0007, ,0,전체,11110-284,0,서울특별시 종로구 청운동 4-7번지,1,3,11110, ,201,부패탱크방법
10100, ,0004,0,30,20140711,0014, ,0,전체,11110-2334,0,서울특별시 종로구 청운동 4-14번지,1,4,11110, ,201,부패탱크방법
10100, ,0005,0,20,20090326,0000, ,0,전체,11110-3487,0,서울특별시 종로구 청운동 5번지,1,5,11110, ,201,부패탱크방법
10100, ,0005,0,20,20140315,0000, ,0,전체,11110-2926,0,서울특별시 종로구 청운동 5번지,1,6,11110, ,201,부패탱크방법
10100, ,0006,0,40,20161221,0000, ,0,전체,11110-100023513,0,서울특별시 종로구 청운동 6번지,1,7,11110, ,201,부패탱크방법
10100, ,0007,0,300,20150708,0003, ,0,전체,11110-100023152,0,서울특별시 종로구 청운동 7-3번지,1,8,11110, ,201,부패탱크방법
10100, ,0008,0,90,20170307,0004, ,0,전체,11110-3771,0,서울특별시 종로구 청운동 8-4번지,1,9,11110, ,201,부패탱크방법
10100, ,0012,0,10,20090326,0001, ,0,전체,11110-4882,0,서울특별시 종로구 청운동 12-1번지,1,10,11110, ,201,부패탱크방법
10100, ,0012,0,10,20090326,0001, ,0,전체,11110-4883,0,서울특별시 종로구 청운동 12-1번지,1,11,11110, ,201,부패탱크방법
10100, ,0012,0,10,20090326,0001, ,0,전체,11110-4885,0,서울특별시 종로구 청운동 12-1번지,1,12,11110, ,201,부패탱크방법
10100, ,0012,0,30,20190109,0002, ,0,전체,11110-100030002,0,서울특별시 종로구 청운동 12-2번지,1,13,11110, ,201,부패탱크방법
10100, ,0012,0,15,20190329,0003, ,0,전체,11110-100034089,0,서울특별시 종로구 청운동 12-3번지,1,14,11110, ,201,부패탱크방법
10100, ,0015,0,30,20130618,0000, ,0,전체,11110-1864,0,서울특별시 종로구 청운동 15번지,1,15,11110, ,201,부패탱크방법
10100, ,0015,0,25,20130618,0007, ,0,전체,11110-1561,0,서울특별시 종로구 청운동 15-7번지,1,16,11110, ,201,부패탱크방법
10100, ,0015,0,15,20090326,0009, ,0,전체,11110-2561,0,서울특별시 종로구 청운동 15-9번지,1,17,11110, ,201,부패탱크방법
10100, ,0015,0,15,20180914,0012, ,0,전체,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,1,18,11110, ,201,부패탱크방법
10100, ,0015,0,15,20111209,0014, ,0,전체,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,1,19,11110, ,201,부패탱크방법
10100, ,0015,0,25,20130618,0015, ,0,전체,11110-2463,0,서울특별시 종로구 청운동 15-15번지,1,20,11110, ,201,부패탱크방법
10100, ,0015,0,15,20111104,0017, ,0,전체,11110-100011736,0,서울특별시 종로구 청운동 15-17번지,1,21,11110, ,201,부패탱크방법
10100, ,0015,0,5,20140318,0022, ,0,전체,11110-100018579,0,서울특별시 종로구 청운동 15-22번지,1,22,11110, ,201,부패탱크방법
10100, ,0015,2.5,15,20130824,0033, ,0,전체,11110-1951,0,서울특별시 종로구 청운동 15-33번지,1,23,11110, ,201,부패탱크방법
10100, ,0015,2.03,10,20180420,0033, ,0,전체,11110-100025592,0,서울특별시 종로구 청운동 15-33번지,1,24,11110, ,201,부패탱크방법
10100, ,0015,0,10,20130727,0046, ,0,전체,11110-100016486,0,서울특별시 종로구 청운동 15-46번지,1,25,11110, ,201,부패탱크방법
10100, ,0015,2.517,15,20161207,0046, ,0,전체,11110-100023938,0,서울특별시 종로구 청운동 15-46번지,1,26,11110, ,201,부패탱크방법
10100, ,0015,0,10,20130618,0056, ,0,전체,11110-929,0,서울특별시 종로구 청운동 15-56번지,1,27,11110, ,201,부패탱크방법
10100, ,0030,0,80,20140711,0001, ,0,전체,11110-2469,0,서울특별시 종로구 청운동 30-1번지,1,28,11110, ,201,부패탱크방법
10100, ,0030,0,80,20170908,0013, ,0,전체,11110-100024216,0,서울특별시 종로구 청운동 30-13번지,1,29,11110, ,201,부패탱크방법
10100, ,0039,0,40,20140327,0006, ,0,전체,11110-1827,0,서울특별시 종로구 청운동 39-6번지,1,30,11110, ,201,부패탱크방법
10100, ,0040,8.48,40,20090326,0003, ,0,전체,11110-1032,0,서울특별시 종로구 청운동 40-3번지,1,31,11110, ,201,부패탱크방법
10100, ,0040,0,40,20140206,0003, ,0,전체,11110-1758,0,서울특별시 종로구 청운동 40-3번지,1,32,11110, ,201,부패탱크방법
10100, ,0040,0,40,20180914,0003, ,0,전체,11110-100019422,0,서울특별시 종로구 청운동 40-3번지,1,33,11110, ,201,부패탱크방법
10100, ,0048,0,25,20150730,0000, ,0,전체,11110-100023269,0,서울특별시 종로구 청운동 48번지,1,34,11110, ,201,부패탱크방법
10100, ,0049,0,50,20170524,0002, ,0,전체,11110-100024571,0,서울특별시 종로구 청운동 49-2번지,1,35,11110, ,201,부패탱크방법
10100, ,0050,0,10,20170421,0006, ,0,전체,11110-100025737,0,서울특별시 종로구 청운동 50-6번지,1,36,11110, ,201,부패탱크방법
10100, ,0050,0,50,20131206,0010, ,0,전체,11110-1020,0,서울특별시 종로구 청운동 50-10번지,1,37,11110, ,201,부패탱크방법
10100, ,0050,0,30,20190213,0030, ,0,전체,11110-100024762,0,서울특별시 종로구 청운동 50-30번지,1,38,11110, ,201,부패탱크방법
10100, ,0050,0,10,20170722,0040, ,0,전체,11110-100025972,0,서울특별시 종로구 청운동 50-40번지,1,39,11110, ,201,부패탱크방법
10100, ,0050,0,10,20150903,0062, ,0,전체,11110-100022515,0,서울특별시 종로구 청운동 50-62번지,1,40,11110, ,201,부패탱크방법
10100, ,0051,0,30,20130618,0005, ,0,전체,11110-517,0,서울특별시 종로구 청운동 51-5번지,1,41,11110, ,204,접촉폭기방법
10100, ,0051,0,30,20130618,0005, ,0,전체,11110-418,0,서울특별시 종로구 청운동 51-5번지,1,42,11110, ,201,부패탱크방법
10100, ,0052,3.01,20,20160608,0002, ,0,전체,11110-100023810,0,서울특별시 종로구 청운동 52-2번지,1,43,11110, ,201,부패탱크방법
10100, ,0052,0,40,20101123,0005, ,0,전체,11110-100011904,0,서울특별시 종로구 청운동 52-5번지,1,44,11110, ,201,부패탱크방법
10100, ,0052,0,40,20180328,0005, ,0,전체,11110-100030171,0,서울특별시 종로구 청운동 52-5번지,1,45,11110, , , 
