오퍼레이션,법정동명,인허가 수
getApBasisOulnInfo,서울특별시 종로구 신교동,83
getApDongOulnInfo,서울특별시 종로구 신교동,71
getApFlrOulnInfo,서울특별시 종로구 신교동,247
getApHoOulnInfo,서울특별시 종로구 신교동,101
getApImprprInfo,서울특별시 종로구 신교동,13
getApHdcrMgmRgstInfo,서울특별시 종로구 신교동,0
getApDemolExtngMgmRgstInfo,서울특별시 종로구 신교동,22
getApTmpBldInfo,서울특별시 종로구 신교동,1
getApWclfInfo,서울특별시 종로구 신교동,55
getApPklotInfo,서울특별시 종로구 신교동,39
getApAtchPklotInfo,서울특별시 종로구 신교동,1
getApExposPubuseAreaInfo,서울특별시 종로구 신교동,116
getApHoExposPubuseAreaInfo,서울특별시 종로구 신교동,223
getApJijiguInfo,서울특별시 종로구 신교동,192
getApRoadRgstInfo,서울특별시 종로구 신교동,2
getApPlatPlcInfo,서울특별시 종로구 신교동,111
getApHsTpInfo,서울특별시 종로구 신교동,0
