오퍼레이션,법정동명,인허가 수
getApBasisOulnInfo,서울특별시 종로구 청운동,229
getApDongOulnInfo,서울특별시 종로구 청운동,195
getApFlrOulnInfo,서울특별시 종로구 청운동,631
getApHoOulnInfo,서울특별시 종로구 청운동,171
getApImprprInfo,서울특별시 종로구 청운동,7
getApHdcrMgmRgstInfo,서울특별시 종로구 청운동,3
getApDemolExtngMgmRgstInfo,서울특별시 종로구 청운동,74
getApTmpBldInfo,서울특별시 종로구 청운동,8
getApWclfInfo,서울특별시 종로구 청운동,138
getApPklotInfo,서울특별시 종로구 청운동,114
getApAtchPklotInfo,서울특별시 종로구 청운동,2
getApExposPubuseAreaInfo,서울특별시 종로구 청운동,340
getApHoExposPubuseAreaInfo,서울특별시 종로구 청운동,403
getApJijiguInfo,서울특별시 종로구 청운동,387
getApRoadRgstInfo,서울특별시 종로구 청운동,6
getApPlatPlcInfo,서울특별시 종로구 청운동,323
getApHsTpInfo,서울특별시 종로구 청운동,0
