번호,접속 사이트,제공항목(데이터셋),폴더명,작업자,시작일,종료일,검토자,진행상태,비고,획득방식,제공방식,원본제공처,비고0,비고2_comment,자료명,서비스명,사이트,서비스키헤더,서비스키명,서비스키,파라미터,제공방식,데이터타입,참고문서,참고문서타입,주기,비고_파라미터설명,완료여부,API PGM ID,파일명
1,국가통계포털,발주자/공종별 건설수주액(경상),1_발주자_공종별 건설수주액(경상),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10001.py,TB_OD10001_yyyymm.csv
2,국가통계포털,공종별 건설수주액(계절조정),2_공종별 건설수주액(계절조정),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10002.py,TB_OD10002_yyyymm.csv
3,국가통계포털,발주자별 건설수주액(계절조정),3_발주자별 건설수주액(계절조정),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10003.py,TB_OD10003_yyyymm.csv
4,국가통계포털,발주자/공종별 수주건수(경상),4_발주자_공종별 수주건수(경상),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10004.py,TB_OD10004_yyyymm.csv
5,국가통계포털,공사지역/발주자별 건설수주액(경상),5_공사지역_발주자별 건설수주액(경상),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10005.py,TB_OD10005_yyyymm.csv
6,국가통계포털,공사지역/공종별 건설수주액(경상),6_공사지역_공종별 건설수주액(경상),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10006.py,TB_OD10006_yyyymm.csv
7,국가통계포털,발주자별 건설기성액(경상),7_발주자별 건설기성액(경상),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10007.py,TB_OD10007_yyyymm.csv
8,국가통계포털,공종별 건설기성액(경상),8_공종별 건설기성액(경상),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10008.py,TB_OD10008_yyyymm.csv
9,국가통계포털,발주자별 건설기성액(계절조정),9_발주자별 건설기성액(계절조정),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10009.py,TB_OD10009_yyyymm.csv
10,국가통계포털,공종별 건설기성액(계절조정),10_공종별 건설기성액(계절조정),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10010.py,TB_OD10010_yyyymm.csv
