,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,00,전국,Whole country,주택소유지별,17122573,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
1,00,전국,Whole country,주택소유지별,14963975,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
2,00,전국,Whole country,주택소유지별,10375363,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
3,00,전국,Whole country,주택소유지별,8697344,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
4,11,서울특별시,Seoul,주택소유지별,2866845,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
5,11,서울특별시,Seoul,주택소유지별,2552576,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
6,11,서울특별시,Seoul,주택소유지별,1665922,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
7,11,서울특별시,Seoul,주택소유지별,1409694,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
8,21,부산광역시,Busan,주택소유지별,1200422,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
9,21,부산광역시,Busan,주택소유지별,1090217,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
10,21,부산광역시,Busan,주택소유지별,776079,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
11,21,부산광역시,Busan,주택소유지별,686371,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
12,22,대구광역시,Daegu,주택소유지별,783895,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
13,22,대구광역시,Daegu,주택소유지별,704573,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
14,22,대구광역시,Daegu,주택소유지별,555900,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
15,22,대구광역시,Daegu,주택소유지별,483971,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
16,23,인천광역시,Incheon,주택소유지별,969588,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
17,23,인천광역시,Incheon,주택소유지별,880133,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
18,23,인천광역시,Incheon,주택소유지별,597929,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
19,23,인천광역시,Incheon,주택소유지별,526729,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
20,24,광주광역시,Gwangju,주택소유지별,505471,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
21,24,광주광역시,Gwangju,주택소유지별,433969,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
22,24,광주광역시,Gwangju,주택소유지별,395976,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
23,24,광주광역시,Gwangju,주택소유지별,330782,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
24,25,대전광역시,Daejeon,주택소유지별,479161,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
25,25,대전광역시,Daejeon,주택소유지별,421521,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
26,25,대전광역시,Daejeon,주택소유지별,348033,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
27,25,대전광역시,Daejeon,주택소유지별,296686,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
28,26,울산광역시,Ulsan,주택소유지별,371300,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
29,26,울산광역시,Ulsan,주택소유지별,339953,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
30,26,울산광역시,Ulsan,주택소유지별,264440,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
31,26,울산광역시,Ulsan,주택소유지별,239539,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
32,29,세종특별자치시,Sejong,주택소유지별,104448,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
33,29,세종특별자치시,Sejong,주택소유지별,85985,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
34,29,세종특별자치시,Sejong,주택소유지별,85256,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
35,29,세종특별자치시,Sejong,주택소유지별,67875,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
36,31,경기도,Gyeonggi-do,주택소유지별,3949829,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
37,31,경기도,Gyeonggi-do,주택소유지별,3430434,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
38,31,경기도,Gyeonggi-do,주택소유지별,2676037,T003,총아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
39,31,경기도,Gyeonggi-do,주택소유지별,2237980,T004,개인소유아파트,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
40,32,강원도,Gangwon-do,주택소유지별,586383,T001,총주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
41,32,강원도,Gangwon-do,주택소유지별,489130,T002,개인소유주택,101,2017,A,DT_1OH0501,주택소재지별 주택수 현황(개인단위),호,Households
