,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,00,전국,Whole country,주택소재지별,00,총계,동일지역여부별,14963975,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
1,00,전국,Whole country,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,11387684,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
2,00,전국,Whole country,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,1560956,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
3,00,전국,Whole country,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,2015335,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
4,11,서울특별시,Seoul,주택소재지별,00,총계,동일지역여부별,2552576,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
5,11,서울특별시,Seoul,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,1825422,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
6,11,서울특별시,Seoul,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,351998,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
7,11,서울특별시,Seoul,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,375156,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
8,21,부산광역시,Busan,주택소재지별,00,총계,동일지역여부별,1090217,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
9,21,부산광역시,Busan,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,832553,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
10,21,부산광역시,Busan,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,157426,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
11,21,부산광역시,Busan,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,100238,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
12,22,대구광역시,Daegu,주택소재지별,00,총계,동일지역여부별,704573,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
13,22,대구광역시,Daegu,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,555225,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
14,22,대구광역시,Daegu,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,77901,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
15,22,대구광역시,Daegu,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,71447,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
