,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,00,전국,Whole country,거주지역별,000,총계,소유물건수별,13669851,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
1,00,전국,Whole country,거주지역별,010,1건,소유물건수별,11550688,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
2,00,전국,Whole country,거주지역별,020,2건,소유물건수별,1659681,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
3,00,전국,Whole country,거주지역별,030,3건 이상,소유물건수별,459482,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
4,11,서울특별시,Seoul,거주지역별,000,총계,소유물건수별,2436182,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
5,11,서울특별시,Seoul,거주지역별,010,1건,소유물건수별,2047176,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
6,11,서울특별시,Seoul,거주지역별,020,2건,소유물건수별,289171,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
7,11,서울특별시,Seoul,거주지역별,030,3건 이상,소유물건수별,99835,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
8,21,부산광역시,Busan,거주지역별,000,총계,소유물건수별,973593,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
9,21,부산광역시,Busan,거주지역별,010,1건,소유물건수별,823956,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
10,21,부산광역시,Busan,거주지역별,020,2건,소유물건수별,114390,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
11,21,부산광역시,Busan,거주지역별,030,3건 이상,소유물건수별,35247,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
12,22,대구광역시,Daegu,거주지역별,000,총계,소유물건수별,671684,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
13,22,대구광역시,Daegu,거주지역별,010,1건,소유물건수별,572547,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
14,22,대구광역시,Daegu,거주지역별,020,2건,소유물건수별,80150,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
15,22,대구광역시,Daegu,거주지역별,030,3건 이상,소유물건수별,18987,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
16,23,인천광역시,Incheon,거주지역별,000,총계,소유물건수별,763252,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
17,23,인천광역시,Incheon,거주지역별,010,1건,소유물건수별,657497,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
18,23,인천광역시,Incheon,거주지역별,020,2건,소유물건수별,84732,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
19,23,인천광역시,Incheon,거주지역별,030,3건 이상,소유물건수별,21023,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
20,24,광주광역시,Gwangju,거주지역별,000,총계,소유물건수별,399189,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
21,24,광주광역시,Gwangju,거주지역별,010,1건,소유물건수별,342074,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
22,24,광주광역시,Gwangju,거주지역별,020,2건,소유물건수별,45627,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
23,24,광주광역시,Gwangju,거주지역별,030,3건 이상,소유물건수별,11488,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
24,25,대전광역시,Daejeon,거주지역별,000,총계,소유물건수별,394868,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
25,25,대전광역시,Daejeon,거주지역별,010,1건,소유물건수별,336727,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
26,25,대전광역시,Daejeon,거주지역별,020,2건,소유물건수별,46417,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
27,25,대전광역시,Daejeon,거주지역별,030,3건 이상,소유물건수별,11724,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
28,26,울산광역시,Ulsan,거주지역별,000,총계,소유물건수별,338232,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
29,26,울산광역시,Ulsan,거주지역별,010,1건,소유물건수별,285797,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
30,26,울산광역시,Ulsan,거주지역별,020,2건,소유물건수별,42568,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
31,26,울산광역시,Ulsan,거주지역별,030,3건 이상,소유물건수별,9867,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
32,29,세종특별자치시,Sejong,거주지역별,000,총계,소유물건수별,69759,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
33,29,세종특별자치시,Sejong,거주지역별,010,1건,소유물건수별,55570,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
34,29,세종특별자치시,Sejong,거주지역별,020,2건,소유물건수별,11004,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
35,29,세종특별자치시,Sejong,거주지역별,030,3건 이상,소유물건수별,3185,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
36,31,경기도,Gyeonggi-do,거주지역별,000,총계,소유물건수별,3169606,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
37,31,경기도,Gyeonggi-do,거주지역별,010,1건,소유물건수별,2695877,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
38,31,경기도,Gyeonggi-do,거주지역별,020,2건,소유물건수별,374192,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
39,31,경기도,Gyeonggi-do,거주지역별,030,3건 이상,소유물건수별,99537,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
40,32,강원도,Gangwon-do,거주지역별,000,총계,소유물건수별,416492,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
41,32,강원도,Gangwon-do,거주지역별,010,1건,소유물건수별,347406,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
42,32,강원도,Gangwon-do,거주지역별,020,2건,소유물건수별,53351,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
43,32,강원도,Gangwon-do,거주지역별,030,3건 이상,소유물건수별,15735,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
44,33,충청북도,Chungcheongbuk-do,거주지역별,000,총계,소유물건수별,441796,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
45,33,충청북도,Chungcheongbuk-do,거주지역별,010,1건,소유물건수별,370355,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
46,33,충청북도,Chungcheongbuk-do,거주지역별,020,2건,소유물건수별,54930,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
47,33,충청북도,Chungcheongbuk-do,거주지역별,030,3건 이상,소유물건수별,16511,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
48,34,충청남도,Chungcheongnam-do,거주지역별,000,총계,소유물건수별,583830,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
49,34,충청남도,Chungcheongnam-do,거주지역별,010,1건,소유물건수별,474602,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
50,34,충청남도,Chungcheongnam-do,거주지역별,020,2건,소유물건수별,84269,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
51,34,충청남도,Chungcheongnam-do,거주지역별,030,3건 이상,소유물건수별,24959,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
52,35,전라북도,Jeollabuk-do,거주지역별,000,총계,소유물건수별,519633,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
53,35,전라북도,Jeollabuk-do,거주지역별,010,1건,소유물건수별,443756,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
54,35,전라북도,Jeollabuk-do,거주지역별,020,2건,소유물건수별,60643,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
55,35,전라북도,Jeollabuk-do,거주지역별,030,3건 이상,소유물건수별,15234,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
56,36,전라남도,Jeollanam-do,거주지역별,000,총계,소유물건수별,537573,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
57,36,전라남도,Jeollanam-do,거주지역별,010,1건,소유물건수별,455178,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
58,36,전라남도,Jeollanam-do,거주지역별,020,2건,소유물건수별,65855,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
59,36,전라남도,Jeollanam-do,거주지역별,030,3건 이상,소유물건수별,16540,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
60,37,경상북도,Gyeongsangbuk-do,거주지역별,000,총계,소유물건수별,798792,T001,소유자수,101,2017,A,DT_1OH0506,거주지역별 주택 소유물건수별 주택소유자수 현황,명,In Person
