,C1,C1_NM,C1_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,000,총계,주택 소유지분별,11000007,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
1,010,1호이하,주택 소유지분별,8038349,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
2,020,1호초과~2호이하,주택 소유지분별,2202298,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
3,030,2호초과~3호이하,주택 소유지분별,499920,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
4,040,3호초과~4호이하,주택 소유지분별,132267,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
5,050,4호초과~5호이하,주택 소유지분별,45784,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
6,060,5호초과~6호이하,주택 소유지분별,21661,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
7,070,6호초과~7호이하,주택 소유지분별,12946,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
8,080,7호초과~8호이하,주택 소유지분별,8649,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
9,090,8호초과~9호이하,주택 소유지분별,6231,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
10,100,9호초과~10호이하,주택 소유지분별,4912,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
11,110,10호초과,주택 소유지분별,26990,T001,일반가구수,101,2017,A,DT_1OH0408,주택소유지분별 주택소유 가구수 현황,가구,Households
