,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,00,전국,Whole country,거주지역별,000,총계,소유지분별,11000007,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
1,00,전국,Whole country,거주지역별,010,1호이하,소유지분별,8038349,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
2,00,전국,Whole country,거주지역별,020,1호초과~2호이하,소유지분별,2202298,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
3,00,전국,Whole country,거주지역별,030,2호초과~3호이하,소유지분별,499920,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
4,00,전국,Whole country,거주지역별,040,3호초과,소유지분별,259440,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
5,11,서울특별시,Seoul,거주지역별,000,총계,소유지분별,1875189,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
6,11,서울특별시,Seoul,거주지역별,010,1호이하,소유지분별,1357671,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
7,11,서울특별시,Seoul,거주지역별,020,1호초과~2호이하,소유지분별,369552,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
8,11,서울특별시,Seoul,거주지역별,030,2호초과~3호이하,소유지분별,87168,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
9,11,서울특별시,Seoul,거주지역별,040,3호초과,소유지분별,60798,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
