,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,C3,C3_NM,C3_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM
0,00,전국,Whole country,거주지역별,000,총계,주택자산 가액별,01,주택소유 가구,주택소유 현황별,11000007,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
1,00,전국,Whole country,거주지역별,000,총계,주택자산 가액별,02,가구소유 주택,주택소유 현황별,14973014,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
2,00,전국,Whole country,거주지역별,010,0.6억이하,주택자산 가액별,01,주택소유 가구,주택소유 현황별,1740974,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
3,00,전국,Whole country,거주지역별,010,0.6억이하,주택자산 가액별,02,가구소유 주택,주택소유 현황별,1724981,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
4,00,전국,Whole country,거주지역별,020,0.6~1.5억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,3390716,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
5,00,전국,Whole country,거주지역별,020,0.6~1.5억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,3756088,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
6,00,전국,Whole country,거주지역별,030,1.5~3억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,3310672,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
7,00,전국,Whole country,거주지역별,030,1.5~3억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,4225159,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
8,00,전국,Whole country,거주지역별,040,3~6억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,1800104,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
9,00,전국,Whole country,거주지역별,040,3~6억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,3022978,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
10,00,전국,Whole country,거주지역별,050,6~12억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,592965,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
11,00,전국,Whole country,거주지역별,050,6~12억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,1448257,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
12,00,전국,Whole country,거주지역별,060,12억 초과,주택자산 가액별,01,주택소유 가구,주택소유 현황별,164576,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
13,00,전국,Whole country,거주지역별,060,12억 초과,주택자산 가액별,02,가구소유 주택,주택소유 현황별,795551,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
14,11,서울특별시,Seoul,거주지역별,000,총계,주택자산 가액별,01,주택소유 가구,주택소유 현황별,1875189,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
15,11,서울특별시,Seoul,거주지역별,000,총계,주택자산 가액별,02,가구소유 주택,주택소유 현황별,2676900,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
16,11,서울특별시,Seoul,거주지역별,010,0.6억이하,주택자산 가액별,01,주택소유 가구,주택소유 현황별,71403,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
17,11,서울특별시,Seoul,거주지역별,010,0.6억이하,주택자산 가액별,02,가구소유 주택,주택소유 현황별,57859,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
18,11,서울특별시,Seoul,거주지역별,020,0.6~1.5억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,287552,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
19,11,서울특별시,Seoul,거주지역별,020,0.6~1.5억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,283739,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
20,11,서울특별시,Seoul,거주지역별,030,1.5~3억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,546197,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
21,11,서울특별시,Seoul,거주지역별,030,1.5~3억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,602226,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
22,11,서울특별시,Seoul,거주지역별,040,3~6억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,580812,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
23,11,서울특별시,Seoul,거주지역별,040,3~6억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,784464,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
24,11,서울특별시,Seoul,거주지역별,050,6~12억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,281217,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
25,11,서울특별시,Seoul,거주지역별,050,6~12억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,541592,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
26,11,서울특별시,Seoul,거주지역별,060,12억 초과,주택자산 가액별,01,주택소유 가구,주택소유 현황별,108008,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
27,11,서울특별시,Seoul,거주지역별,060,12억 초과,주택자산 가액별,02,가구소유 주택,주택소유 현황별,407018,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
28,21,부산광역시,Busan,거주지역별,000,총계,주택자산 가액별,01,주택소유 가구,주택소유 현황별,791489,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
29,21,부산광역시,Busan,거주지역별,000,총계,주택자산 가액별,02,가구소유 주택,주택소유 현황별,1105795,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
30,21,부산광역시,Busan,거주지역별,010,0.6억이하,주택자산 가액별,01,주택소유 가구,주택소유 현황별,85004,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
31,21,부산광역시,Busan,거주지역별,010,0.6억이하,주택자산 가액별,02,가구소유 주택,주택소유 현황별,81048,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
32,21,부산광역시,Busan,거주지역별,020,0.6~1.5억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,272363,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
33,21,부산광역시,Busan,거주지역별,020,0.6~1.5억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,289335,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
34,21,부산광역시,Busan,거주지역별,030,1.5~3억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,264012,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
35,21,부산광역시,Busan,거주지역별,030,1.5~3억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,332276,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
36,21,부산광역시,Busan,거주지역별,040,3~6억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,132781,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
