,연도,월,서울특별시건수,서울특별시보증잔액(원),부산광역시건수,부산광역시보증잔액(원),대구광역시건수,대구광역시보증잔액(원),인천광역시건수,인천광역시보증잔액(원),광주광역시건수,광주광역시보증잔액(원),대전광역시건수,대전광역시보증잔액(원),울산광역시건수,울산광역시보증잔액(원),경기도건수,경기도보증잔액(원),충청북도건수,충청북도보증잔액(원),충청남도건수,충청남도보증잔액(원),전라북도건수,전라북도보증잔액(원),전라남도건수,전라남도보증잔액(원),경상북도건수,경상북도보증잔액(원),경상남도건수,경상남도보증잔액(원),강원도 건수,강원도 보증잔액(원),제주도건수,제주도보증잔액(원),세종특별자치시건수,세종특별자치시보증잔액(원),기타공급건수,기타공급금액(원)
0,2004,4,"99,409","1,487,147,563,206","38,847","680,823,453,048","22,555","288,902,567,319","91,914","1,505,212,647,687","16,368","173,081,720,014","15,507","236,298,249,474","11,348","247,398,367,856","184,169","3,170,965,634,360","11,557","135,255,000,725","14,133","207,644,336,589","16,247","186,286,281,592","13,010","124,182,344,439","17,339","220,056,131,789","32,059","383,912,930,127","10,575","119,438,366,616","3,161","27,926,477,853",,,555,"5,531,901,068"
1,2004,5,"96,670","1,448,694,063,819","37,736","657,355,201,838","21,962","279,660,451,110","90,898","1,487,740,661,641","15,972","169,959,747,797","15,220","233,801,821,316","10,935","236,252,004,543","180,044","3,088,757,757,366","11,312","131,347,149,288","13,753","201,873,210,062","15,914","182,156,598,793","12,751","121,576,707,080","16,777","206,048,340,417","31,497","379,959,796,333","10,275","114,779,805,965","2,968","25,772,900,897",,,530,"5,281,905,651"
2,2004,6,"93,682","1,405,068,946,075","36,594","634,189,207,015","21,532","277,004,076,536","89,606","1,465,787,109,986","15,581","165,206,951,184","14,817","231,554,744,691","10,313","221,990,735,109","175,679","2,999,813,300,906","10,979","128,352,402,928","13,273","196,334,579,078","15,537","177,142,814,066","12,447","119,849,196,697","16,403","200,922,296,000","30,817","376,015,742,137","9,866","111,427,790,961","2,823","24,414,727,514",,,482,"5,018,362,912"
3,2004,7,"90,871","1,356,839,443,201","35,586","614,058,735,338","21,059","273,235,430,176","88,550","1,448,986,404,560","15,269","162,763,168,076","14,473","227,410,266,422","10,136","220,460,154,543","171,177","2,883,714,939,239","10,668","125,654,097,515","12,899","190,603,252,532","15,198","174,155,514,651","12,178","117,619,078,525","15,909","188,117,405,390","30,153","367,610,546,236","9,656","109,832,649,576","2,772","23,797,111,539",,,462,"4,918,233,114"
4,2004,8,"88,428","1,321,409,572,877","34,639","596,540,424,000","20,665","270,110,772,554","87,209","1,418,985,476,272","15,069","166,638,889,557","13,989","215,432,059,488","9,978","219,073,037,660","167,323","2,797,233,418,989","10,415","123,002,054,708","12,620","187,170,426,390","14,891","172,072,168,786","11,887","114,963,710,191","15,390","175,004,173,109","29,551","362,574,568,960","9,456","108,856,539,276","2,705","22,582,898,249",,,453,"4,796,327,060"
5,2004,9,"85,824","1,286,053,127,622","33,843","585,772,056,922","20,120","261,755,054,291","85,047","1,359,963,688,289","14,687","167,601,626,692","13,590","208,740,431,766","9,801","217,516,036,334","162,981","2,700,367,576,104","10,149","119,518,273,820","12,290","183,975,165,538","14,533","170,874,802,623","11,564","113,058,492,519","14,910","173,592,045,322","29,008","359,401,598,473","9,112","106,463,523,040","2,662","22,032,712,826",,,438,"4,641,597,917"
6,2004,10,"82,472","1,241,532,634,847","32,749","565,199,083,133","19,614","256,077,762,237","83,398","1,322,616,334,076","14,217","165,427,729,385","13,140","201,584,309,770","9,297","196,944,401,132","158,476","2,609,978,356,439","9,896","116,616,720,798","11,917","178,696,268,558","14,083","158,913,987,156","11,136","109,787,828,082","14,524","171,744,729,436","28,421","354,958,055,468","8,532","87,419,461,000","2,591","21,589,467,953",,,422,"4,404,907,563"
7,2004,11,"79,076","1,196,442,985,444","31,430","542,166,896,902","18,951","249,062,527,669","80,279","1,253,706,189,611","13,669","163,867,278,531","12,682","196,323,466,325","8,593","170,734,913,161","151,973","2,443,101,500,463","9,412","110,856,365,240","11,365","167,697,697,460","13,109","135,710,442,812","10,717","106,399,962,979","13,986","163,247,110,653","27,599","346,861,220,174","8,077","81,392,074,483","2,510","20,768,061,432",,,408,"4,290,687,721"
8,2004,12,"76,845","1,156,711,040,571","30,615","529,053,890,128","18,552","244,880,302,008","79,522","1,238,081,860,531","13,278","162,910,821,580","12,295","187,038,469,087","8,162","159,335,062,808","147,510","2,316,831,423,057","8,085","93,697,452,483","10,827","154,407,679,966","12,724","129,282,007,074","10,463","105,394,576,314","13,642","159,117,790,844","27,023","346,034,669,264","7,788","78,838,104,648","2,387","19,757,667,537",,,395,"4,193,561,260"
9,2005,1,"75,158","1,124,989,582,775","29,965","519,210,551,185","18,105","238,919,730,092","78,852","1,226,742,362,823","12,932","160,946,119,452","11,959","179,969,677,035","7,928","154,543,105,492","144,483","2,239,253,334,778","7,188","79,688,661,226","10,486","146,259,312,096","12,394","124,952,023,915","10,208","103,639,009,843","13,313","154,345,399,419","26,476","338,438,412,269","7,550","76,070,718,286","2,279","18,852,459,827",,,381,"4,046,372,326"
