C1,C1_NM,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0001,전국,지역별,0001,전체,규모별,14330.1299,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0001,전체,규모별,649.1362938,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0001,전체,규모별,10643.09182,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0001,전체,규모별,609.2527558,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0002,40㎡이하,규모별,7574.270755,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0002,40㎡이하,규모별,492.1347275,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0002,40㎡이하,규모별,7213.352986,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0002,40㎡이하,규모별,485.4183713,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0003,40㎡초과,규모별,29565.75707,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0003,40㎡초과,규모별,1003.201895,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0003,40㎡초과,규모별,18377.74424,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0001,전국,지역별,0003,40㎡초과,규모별,888.5206435,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0002,수도권,지역별,0001,전체,규모별,15042.31426,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0002,수도권,지역별,0001,전체,규모별,693.2325581,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0002,수도권,지역별,0001,전체,규모별,11233.39038,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0002,수도권,지역별,0001,전체,규모별,653.2947138,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0002,수도권,지역별,0002,40㎡이하,규모별,8177.210759,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
