,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,C3,C3_NM,C3_NM_ENG,C3_OBJ_NM,C3_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,01,아파트,Apartments,주택유형,Type,a0,전국,TheWholeCountry,지역,Region,01,연령1,Age1,건축연령,Age,98.45486925,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
1,01,아파트,Apartments,주택유형,Type,a0,전국,TheWholeCountry,지역,Region,02,연령2,Age2,건축연령,Age,98.03958323,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
2,01,아파트,Apartments,주택유형,Type,a0,전국,TheWholeCountry,지역,Region,03,연령3,Age3,건축연령,Age,98.01302861,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
3,01,아파트,Apartments,주택유형,Type,a0,전국,TheWholeCountry,지역,Region,04,연령4,Age4,건축연령,Age,97.98746362,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
4,01,아파트,Apartments,주택유형,Type,a0,전국,TheWholeCountry,지역,Region,05,연령5,Age5,건축연령,Age,97.94173405,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
5,01,아파트,Apartments,주택유형,Type,a1,수도권,SeoulMetropolitanArea,지역,Region,01,연령1,Age1,건축연령,Age,98.93863819,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
6,01,아파트,Apartments,주택유형,Type,a1,수도권,SeoulMetropolitanArea,지역,Region,02,연령2,Age2,건축연령,Age,98.77067864,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
7,01,아파트,Apartments,주택유형,Type,a1,수도권,SeoulMetropolitanArea,지역,Region,03,연령3,Age3,건축연령,Age,98.92186934,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
8,01,아파트,Apartments,주택유형,Type,a1,수도권,SeoulMetropolitanArea,지역,Region,04,연령4,Age4,건축연령,Age,98.8337238,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
9,01,아파트,Apartments,주택유형,Type,a1,수도권,SeoulMetropolitanArea,지역,Region,05,연령5,Age5,건축연령,Age,98.78653447,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
