,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,00,종합,Total,주택유형,Type,a0,전국,TheWholeCountry,지역,Region,97.98662125,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
1,00,종합,Total,주택유형,Type,a1,수도권,SeoulMetropolitanArea,지역,Region,98.31184576,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
2,00,종합,Total,주택유형,Type,a10,광주,Gwangju,지역,Region,100.4222264,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
3,00,종합,Total,주택유형,Type,a11,대전,Daejeon,지역,Region,100.0588636,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
4,00,종합,Total,주택유형,Type,a12,울산,Ulsan,지역,Region,89.94344562,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
5,00,종합,Total,주택유형,Type,a13,세종,Sejong,지역,Region,102.8215338,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
6,00,종합,Total,주택유형,Type,a14,강원,Gangwon,지역,Region,97.32439864,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
7,00,종합,Total,주택유형,Type,a15,충북,Chungbuk,지역,Region,96.90193417,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
8,00,종합,Total,주택유형,Type,a16,충남,Chungnam,지역,Region,97.59750996,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
9,00,종합,Total,주택유형,Type,a17,전북,Jeonbuk,지역,Region,99.41736066,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
10,00,종합,Total,주택유형,Type,a18,전남,Jeonnam,지역,Region,100.5733925,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
11,00,종합,Total,주택유형,Type,a19,경북,Gyeongbuk,지역,Region,97.14751818,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
12,00,종합,Total,주택유형,Type,a2,지방,Non-SeoulMetropolitanArea,지역,Region,97.69302149,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
13,00,종합,Total,주택유형,Type,a20,경남,Gyeongnam,지역,Region,94.32271948,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
14,00,종합,Total,주택유형,Type,a21,제주,Jeju,지역,Region,98.20159677,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
