archArea,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,hhldCnt,hoCnt,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,roofCd,roofCdNm,sigunguCd,splotNm,strctCd,strctCdNm,totArea,vlRatEstmTotArea
100,00000,1, ,0001,20150619,1,0,0,0001, ,0,주건축물,01000,단독주택,11000-196,11000-117,0,서울특별시 종로구 종로구 1-1번지,1,20,기와,11110, ,11,벽돌구조,100,100
814.26,10100,청운동 파라디아 아델하우스, ,0004,20090326,0,12,0,0001, ,0,주건축물,02000,공동주택,11110-3937,11110-3306,0,서울특별시 종로구 청운동 4-1번지,1,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,4748.37,2382.15
255.6,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,0,4,0,0003, ,0,주건축물,02000,공동주택,11110-4347,11110-3661,0,서울특별시 종로구 청운동 4-3번지,2,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,1536.11,724.05
440.78,10100,신구고려빌라, ,0004,20090326,0,8,0,0007, ,0,주건축물,02000,공동주택,11110-497,11110-284,0,서울특별시 종로구 청운동 4-7번지,3,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,2283.68,1293.3
171.05,10100,리뉴빌, ,0004,20140711,0,4,0,0014, ,0,주건축물,02000,공동주택,11110-2865,11110-2334,0,서울특별시 종로구 청운동 4-14번지,4,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,813.96,498.35
54,10100, , ,0004,20100818,0,0,0,0021, , , , , ,11110-4219,11110-3547,0,서울특별시 종로구 청운동 4-21번지,5, , ,11110, ,39,기타강구조,54,0
54,10100, , ,0004,20100818,0,0,0,0021, , , , , ,11110-4220,11110-3547,0,서울특별시 종로구 청운동 4-21번지,6, , ,11110, ,39,기타강구조,54,0
18,10100, , ,0004,20100818,0,0,0,0021, , , , , ,11110-4221,11110-3547,0,서울특별시 종로구 청운동 4-21번지,7, , ,11110, ,39,기타강구조,18,0
179.5,10100,예수그리스도후기성도교회수도원, ,0005,20090326,0,0,0,0000, ,0,주건축물,Z5000, ,11110-4139,11110-3487,0,서울특별시 종로구 청운동 5번지,8,20,기와,11110, ,21,철근콘크리트구조,397.6,397.6
179.5,10100,선교부장 사택, ,0005,20140315,1,0,0,0000, ,0,주건축물,01000,단독주택,11110-3516,11110-2926,0,서울특별시 종로구 청운동 5번지,9,20,기와,11110, ,21,철근콘크리트구조,397.6,397.6
169.14,10100,청운동 6 종교시설 (재단법인예수그리스도후기성도교회), ,0006,20161221,0,0,0,0000, ,0,주건축물,06000,종교시설,11110-100026886,11110-100023513,0,서울특별시 종로구 청운동 6번지,10,30,슬레이트,11110, ,12,블록구조,241.06,169.14
88.17,10200,1, ,0001,20100317,1,0,0,0026, ,0,주건축물,01000,단독주택,11110-100009461,11110-2994,0,서울특별시 종로구 신교동 1-26번지,1,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,119.92,118.34
0,10200, , ,0001,20100325,1,0,0,0027, ,0,주건축물,01000,단독주택,11110-100006267,11110-100006766,0,서울특별시 종로구 신교동 1-27번지,2,20,기와,11110, ,11,벽돌구조,94.78,0
92.75,10200, , ,0001,20120605,3,0,0,0027, ,0,주건축물,01000,단독주택,11110-100014374,11110-100010119,0,서울특별시 종로구 신교동 1-27번지,3,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,278.25,278.25
